"year","id_","wrkstat","hrs1","occ10","indus10","age","usetech","job_code","job_ctg","ind_sup_sect_cd","industry"
2022,1,"Working full time",40,"Managers, all other","Services incidental to transportation",72,100,"B015","White Collar",488,"Trade, Transportation, and Utilities"
2022,6,"Working full time",50,"Personal care aides","Other health care services",27,75,"K469","Service",624,"Education and Health Services"
2022,24,"Working full time",35,"Social workers","Individual and family services",60,50,"A174","White Collar",624,"Education and Health Services"
2022,39,"Working full time",40,"Elementary and middle school teachers","Elementary and secondary schools",38,12,"A156","White Collar",443,"Trade, Transportation, and Utilities"
2022,41,"Working full time",36,"Medical and health services managers","Vocational rehabilitation services",49,50,"H887","Blue Collar",54,"Professional and Business Services"
2022,44,"Working full time",40,"Social and community service managers","Individual and family services",30,40,"B021","White Collar",624,"Education and Health Services"
2022,46,"Working full time",90,"Registered nurses","Nursing care facilities",50,80,"A095","White Collar",623,"Education and Health Services"
2022,47,"Working full time",40,"Customer service representatives","Management, scientific, and technical consulting services",32,1,"D304","White Collar",55,"Professional and Business Services"
2022,51,"Working full time",38,"Secretaries and administrative assistants","Colleges and universities, including junior colleges",59,100,"D313","White Collar",623,"Education and Health Services"
2022,54,"Working full time",35,"First-line supervisors of non-retail sales workers","Museums, art galleries, historical sites, and similar institutions",60,5,"E555","Blue Collar",712,"Leisure and Hospitality"
2022,55,"Working full time",55,"Financial clerks, all other","Computer systems design and related services",38,100,"B007","White Collar",54,"Professional and Business Services"
2022,69,"Working full time",60,"Social and community service managers","Individual and family services",58,40,"B021","White Collar",624,"Education and Health Services"
2022,72,"Working full time",40,"Transportation inspectors","Bus service and urban transit",41,0,"D318","White Collar",326,"Manufacturing"
2022,73,"Working full time",38,"Social and human service assistants","Administration of environmental quality and housing programs",32,100,"C255","White Collar",56,"Professional and Business Services"
2022,76,"Working full time",37,"Nursing, psychiatric, and home health aides","Hospitals",55,0.5,"E616","Blue Collar",622,"Education and Health Services"
2022,82,"Working full time",30,"Sales representatives, services, all other","Employment services",22,0,"C259","White Collar",61,"Education and Health Services"
2022,84,"Working full time",30,"Management analysts","Management, scientific, and technical consulting services",24,98,"B026","White Collar",55,"Professional and Business Services"
2022,86,"Working full time",80,"Writers and authors","Motion pictures and video industries",79,80,"K435","Service",512,"Information"
2022,90,"Working full time",45,"Software developers, applications and systems software","Automobile dealers",29,100,"A065","White Collar",454,"Trade, Transportation, and Utilities"
2022,91,"Working full time",20,"Market research analysts and marketing specialists","Miscellaneous manufacturing, n.e.c.",36,80,"A065","White Collar",339,"Manufacturing"
2022,96,"Working full time",40,"Sales representatives,  wholesale and manufacturing","Beverage manufacturing",29,100,"C259","White Collar",322,"Manufacturing"
2022,100,"Working full time",40,"Computer systems analysts","Computer systems design and related services",38,100,"A064","White Collar",54,"Professional and Business Services"
2022,101,"Working full time",45,"First-line supervisors of non-retail sales workers","Automotive equipment rental and leasing",25,100,"E555","Blue Collar",335,"Manufacturing"
2022,102,"Working full time",40,"General and operations managers","Insurance carriers and related activities",34,100,"B008","White Collar",524,"Financial Activities"
2022,106,"Working full time",33,"Elementary and middle school teachers","Elementary and secondary schools",47,50,"A156","White Collar",443,"Trade, Transportation, and Utilities"
2022,107,"Working full time",70,"Registered nurses","Hospitals",40,0,"A095","White Collar",622,"Education and Health Services"
2022,111,"Working full time",60,"Security and fire alarm systems installers","Investigation and security services",61,90,"D313","White Collar",518,"Information"
2022,113,"Working full time",48,"Emergency medical technicians and paramedics","Justice, public order, and safety activities",48,90,"A213","White Collar",518,"Information"
2022,117,"Working full time",40,"Taxi drivers and chauffeurs","Restaurants and other food services",42,0,"G809","Blue Collar",446,"Trade, Transportation, and Utilities"
2022,118,"Working full time",40,"Driver/sales workers and truck drivers","Executive offices and legislative bodies",46,13,"G806","Blue Collar",453,"Trade, Transportation, and Utilities"
2022,123,"Working full time",35,"Computer and information systems managers","Elementary and secondary schools",65,100,"B022","White Collar",443,"Trade, Transportation, and Utilities"
2022,127,"Working full time",70,"Nonfarm animal caretakers","Other personal services",65,20,"A049","White Collar",519,"Information"
2022,130,"Working full time",40,"Management analysts","Management, scientific, and technical consulting services",31,40,"B026","White Collar",55,"Professional and Business Services"
2022,131,"Working full time",57,"Janitors and building cleaners","Services to buildings and dwellings",40,60,"K453","Service",623,"Education and Health Services"
2022,132,"Working full time",40,"Designers","Soap, cleaning compound, and cosmetics manufacturing",43,100,"A185","White Collar",335,"Manufacturing"
2022,140,"Working full time",40,"Paralegals and legal assistants","Legal services",34,100,"A234","White Collar",54,"Professional and Business Services"
2022,143,"Working full time",42,"Registered nurses","Hospitals",36,2,"A095","White Collar",622,"Education and Health Services"
2022,150,"Working full time",45,"Managers, all other","Travel arrangements and reservation services",29,40,"B015","White Collar",562,"Professional and Business Services"
2022,151,"Working full time",60,"Elementary and middle school teachers","Elementary and secondary schools",44,95,"A156","White Collar",443,"Trade, Transportation, and Utilities"
2022,156,"Working full time",40,"Secretaries and administrative assistants","Offices of physicians",24,100,"D313","White Collar",624,"Education and Health Services"
2022,159,"Working full time",40,"Property, real estate, and community association managers","Real estate",68,85,"F796","Blue Collar",531,"Financial Activities"
2022,161,"Working full time",40,"Architectural and engineering managers","Management, scientific, and technical consulting services",74,100,"A043","White Collar",55,"Professional and Business Services"
2022,163,"Working full time",35,"Social and human service assistants","Civic, social, advocacy organizations, and grantmaking and giving services",48,0,"C255","White Collar",813,"Other Services (except Public Administration)"
2022,164,"Working full time",40,"Special education teachers","Elementary and secondary schools",55,90,"A099","White Collar",443,"Trade, Transportation, and Utilities"
2022,166,"Working full time",44,"Registered nurses","Outpatient care centers",40,90,"A095","White Collar",621,"Education and Health Services"
2022,170,"Working full time",70,"Athletes, coaches, umpires, and related workers","Other amusement, gambling, and recreation industries",39,15,"A199","White Collar",713,"Leisure and Hospitality"
2022,172,"Working full time",40,"First-line supervisors of retail sales workers","Auto parts, accessories, and tire stores",34,15,"E555","Blue Collar",711,"Leisure and Hospitality"
2022,173,"Working full time",40,"Registered nurses","Hospitals",29,36,"A095","White Collar",622,"Education and Health Services"
2022,175,"Working full time",50,"Physical therapists","Outpatient care centers",41,0.5,"A103","White Collar",621,"Education and Health Services"
2022,176,"Working full time",70,"Nursing, psychiatric, and home health aides","Home health care services",39,14,"E616","Blue Collar",621,"Education and Health Services"
2022,177,"Working full time",40,"Customer service representatives","Other health care services",63,60,"D304","White Collar",624,"Education and Health Services"
2022,182,"Working full time",45,"Elementary and middle school teachers","Elementary and secondary schools",53,75,"A156","White Collar",443,"Trade, Transportation, and Utilities"
2022,188,"Working full time",40,"Claims adjusters, appraisers, examiners, and investigators","Insurance carriers and related activities",42,100,"D375","White Collar",524,"Financial Activities"
2022,190,"Working full time",40,"Aerospace engineers","Aerospace product and parts manufacturing",49,80,"A044","White Collar",324,"Manufacturing"
2022,195,"Working full time",40,"Electrical and electronics engineers","Petroleum refining",45,90,"A055","White Collar",331,"Manufacturing"
2022,197,"Working full time",75,"Physicians and surgeons","Hospitals",30,90,"A084","White Collar",622,"Education and Health Services"
2022,200,"Working full time",40,"Hairdressers, hairstylists, and cosmetologists","Beauty salons",25,0,"K458","Service",812,"Other Services (except Public Administration)"
2022,203,"Working full time",45,"Chemical processing machine setters, operators, and tenders","Beverage manufacturing",29,80,"F758","Blue Collar",322,"Manufacturing"
2022,204,"Working full time",0,"Writers and authors","Motion pictures and video industries",53,100,"K435","Service",512,"Information"
2022,210,"Working full time",59,"Driver/sales workers and truck drivers","Truck transportation",60,25,"G806","Blue Collar",484,"Trade, Transportation, and Utilities"
2022,216,"Working full time",40,"Nursing, psychiatric, and home health aides","Hospitals",48,60,"E616","Blue Collar",622,"Education and Health Services"
2022,217,"Working full time",40,"Construction laborers","Construction",61,0,"H869","Blue Collar",23,"Construction"
2022,218,"Working full time",40,"Driver/sales workers and truck drivers","Truck transportation",47,5,"G806","Blue Collar",484,"Trade, Transportation, and Utilities"
2022,222,"Working full time",40,"Postal service clerks","Postal Service",31,0,"D354","White Collar",491,"Trade, Transportation, and Utilities"
2022,227,"Working full time",90,"Therapists, all other","Outpatient care centers",43,100,"A105","White Collar",621,"Education and Health Services"
2022,228,"Working full time",40,"Secondary school teachers","Elementary and secondary schools",23,70,"A157","White Collar",443,"Trade, Transportation, and Utilities"
2022,229,"Working full time",45,"Social workers","Individual and family services",31,50,"A174","White Collar",624,"Education and Health Services"
2022,230,"Working full time",40,"Designers","Furniture and home furnishings stores",33,25,"A185","White Collar",442,"Trade, Transportation, and Utilities"
2022,233,"Working full time",81,"Personal care aides","Individual and family services",58,0,"K469","Service",624,"Education and Health Services"
2022,234,"Working full time",84,"Artists and related workers","Specialized design services",39,40,"A165","White Collar",532,"Financial Activities"
2022,235,"Working full time",40,"Small engine mechanics","Personal and household goods repair and maintenance",56,0,"C258","White Collar",812,"Other Services (except Public Administration)"
2022,239,"Working full time",55,"Elementary and middle school teachers","Elementary and secondary schools",27,80,"A156","White Collar",443,"Trade, Transportation, and Utilities"
2022,254,"Working full time",43,"Cooks","Restaurants and other food services",23,100,"K436","Service",446,"Trade, Transportation, and Utilities"
2022,256,"Working full time",40,"Pipelayers, plumbers, pipefitters, and steamfitters","Construction",32,5,"E557","Blue Collar",23,"Construction"
2022,258,"Working full time",40,"Cost estimators","Construction",59,100,"A087","White Collar",23,"Construction"
2022,260,"Working full time",40,"Television, video, and motion picture camera operators and","Data processing, hosting, and related services",36,100,"K433","Service",518,"Information"
2022,263,"Working full time",0,"Cleaners of vehicles and equipment","Car washes",50,1,"H887","Blue Collar",81,"Other Services (except Public Administration)"
2022,264,"Working full time",28,"First-line supervisors of non-retail sales workers","Insurance carriers and related activities",38,100,"E555","Blue Collar",524,"Financial Activities"
2022,267,"Working full time",22,"Psychologists","Offices of other health practitioners",37,2,"A167","White Collar",441,"Trade, Transportation, and Utilities"
2022,268,"Working full time",60,"First-line supervisors of retail sales workers","Museums, art galleries, historical sites, and similar institutions",30,90,"E555","Blue Collar",712,"Leisure and Hospitality"
2022,270,"Working full time",55,"Elementary and middle school teachers","Elementary and secondary schools",52,40,"A156","White Collar",443,"Trade, Transportation, and Utilities"
2022,274,"Working full time",40,"Retail salespersons","Beer, wine, and liquor stores",33,25,"C274","White Collar",446,"Trade, Transportation, and Utilities"
2022,276,"Working full time",55,"Maids and housekeeping cleaners","Services to buildings and dwellings",46,0.5,"K449","Service",623,"Education and Health Services"
2022,277,"Working full time",50,"General and operations managers","Resin, synthetic rubber and fibers, and filaments manufacturing",57,40,"B008","White Collar",623,"Education and Health Services"
2022,280,"Working full time",50,"Elementary and middle school teachers","Elementary and secondary schools",37,30,"A156","White Collar",443,"Trade, Transportation, and Utilities"
2022,285,"Working full time",50,"Licensed practical and licensed vocational nurses","Insurance carriers and related activities",28,100,"C255","White Collar",524,"Financial Activities"
2022,286,"Working full time",40,"Library assistants, clerical","Libraries and archives",53,75,"A164","White Collar",812,"Other Services (except Public Administration)"
2022,287,"Working full time",38,"Clinical laboratory technologists and technicians","Hospitals",63,100,"A203","White Collar",622,"Education and Health Services"
2022,289,"Working full time",80,"Personal care aides","Private households",56,0,"K469","Service",814,"Other Services (except Public Administration)"
2022,292,"Working full time",45,"Lawyers","Securities, commodities, funds, trusts, and other financial investments",67,80,"A178","White Collar",523,"Financial Activities"
2022,294,"Working full time",40,"Marketing and sales managers","Management, scientific, and technical consulting services",32,100,"B013","White Collar",55,"Professional and Business Services"
2022,297,"Working full time",40,"Military, rank not specified","Active duty military personnel, all other",55,100,"K427","Service",81,"Other Services (except Public Administration)"
2022,307,"Working full time",48,"First-line supervisors of construction trades and extraction workers","Construction",54,10,"E555","Blue Collar",23,"Construction"
