Category,Code,Job_Title
"Engineers, Architects, and Surveyors",A043,Architects
"Engineers, Architects, and Surveyors",A044,Aerospace Engineers
"Engineers, Architects, and Surveyors",A045,Metallurgical and Materials Engineers
"Engineers, Architects, and Surveyors",A046,Mining Engineers
"Engineers, Architects, and Surveyors",A047,Petroleum Engineers
"Engineers, Architects, and Surveyors",A048,Chemical Engineers
"Engineers, Architects, and Surveyors",A049,Nuclear Engineers
"Engineers, Architects, and Surveyors",A053,Civil Engineers
"Engineers, Architects, and Surveyors",A054,Agricultural Engineers
"Engineers, Architects, and Surveyors",A055,Electrical and Electronic Engineers
"Engineers, Architects, and Surveyors",A056,Industrial Engineers
"Engineers, Architects, and Surveyors",A057,Mechanical Engineers
"Engineers, Architects, and Surveyors",A058,Marine Engineers and Naval Architects
"Engineers, Architects, and Surveyors",A059,"Engineers, N.E.C."
"Engineers, Architects, and Surveyors",A063,Surveyors and Mapping Scientists
Mathematical and Computer Scientists,A064,Computer Systems Analysts and Scientists
Mathematical and Computer Scientists,A065,Operations and Systems Researchers and Analysts
Mathematical and Computer Scientists,A066,Actuaries
Mathematical and Computer Scientists,A067,Statisticians
Mathematical and Computer Scientists,A068,Mathematical Scientists N.E.C.
Natural Scientists,A069,Physicists and Astronomers
Natural Scientists,A073,"Chemists, Except Biochemists"
Natural Scientists,A074,Atmospheric and Space Scientists
Natural Scientists,A075,Geologists and Geodesists
Natural Scientists,A076,Physical Scientists N.E.C.
Natural Scientists,A077,Agricultural and Food Scientists
Natural Scientists,A078,Biological and Life Scientists
Natural Scientists,A079,Forestry and Conservation Scientists
Natural Scientists,A083,Medical Scientists
Health Diagnosing Occupations,A084,Physicians
Health Diagnosing Occupations,A085,Dentists
Health Diagnosing Occupations,A086,Veterinarians
Health Diagnosing Occupations,A087,Optometrists
Health Diagnosing Occupations,A088,Podiatrists
Health Diagnosing Occupations,A089,"Health Diagnosing Practitioners, N.E.C."
Health Assessment and Treating Occupations,A095,Registered Nurses
Health Assessment and Treating Occupations,A096,Pharmacists
Health Assessment and Treating Occupations,A097,Dietitians
Health Assessment and Treating Occupations,A098,Respiratory Therapists
Health Assessment and Treating Occupations,A099,Occupational Therapists
Health Assessment and Treating Occupations,A103,Physical Therapists
Health Assessment and Treating Occupations,A104,Speech Therapists
Health Assessment and Treating Occupations,A105,"Therapists, N.E.C."
Health Assessment and Treating Occupations,A106,Physicians' Assistants
Teachers,A113-154,"Teachers, College and University"
Teachers,A155,Prekindergarten and Kindergarten Teachers
Teachers,A156,Elementary School Teachers
Teachers,A157,Secondary School Teachers
Teachers,A158,"Teachers, Special Education"
Teachers,A159,"Teachers, N.E.C."
Teachers,A160,Substitute Teachers
Teachers,A163,Vocational and Educational Counselors
"Librarians, Archivists and Curators",A164,Librarians
"Librarians, Archivists and Curators",A165,Archivists and Curators
Social Scientists and Urban Planners,A166,Economists
Social Scientists and Urban Planners,A167,Psychologists
Social Scientists and Urban Planners,A168,Sociologists
Social Scientists and Urban Planners,A169,"Social Scientists, N.E.C."
Social Scientists and Urban Planners,A173,Urban Planners
"Social, Recreation, and Religious Workers",A174,Social Workers
"Social, Recreation, and Religious Workers",A175,Recreation Workers
"Social, Recreation, and Religious Workers",A176,Clergy
"Social, Recreation, and Religious Workers",A177,"Religious Workers, N.E.C."
Lawyers and Judges,A178,Lawyers
Lawyers and Judges,A179,Judges
"Writers, Authors, Entertainers, and Athletes",A183,Authors
"Writers, Authors, Entertainers, and Athletes",A184,Technical Writers
"Writers, Authors, Entertainers, and Athletes",A185,Designers
"Writers, Authors, Entertainers, and Athletes",A186,Musicians and Composers
"Writers, Authors, Entertainers, and Athletes",A187,Actors and Directors
"Writers, Authors, Entertainers, and Athletes",A188,"Painters, Sculptors, Craft-Artists, and Artist Print-Makers"
"Writers, Authors, Entertainers, and Athletes",A189,Photographers
"Writers, Authors, Entertainers, and Athletes",A193,Dancers
"Writers, Authors, Entertainers, and Athletes",A194,"Artists, Performers, and Related Workers, N.E.C."
"Writers, Authors, Entertainers, and Athletes",A195,Editors and Reporters
"Writers, Authors, Entertainers, and Athletes",A197,Public Relations Specialists
"Writers, Authors, Entertainers, and Athletes",A198,Announcers
"Writers, Authors, Entertainers, and Athletes",A199,Athletes
"Writers, Authors, Entertainers, and Athletes",A999,"Professional Occupations, N.E.C."
Health Technologists and Technicians,A203,Clinical Laboratory Technologists and Technicians
Health Technologists and Technicians,A204,Dental Hygienists
Health Technologists and Technicians,A205,Health Record Technologists and Technicians
Health Technologists and Technicians,A206,Radiologic Technicians
Health Technologists and Technicians,A207,Licensed Practical Nurses
Health Technologists and Technicians,A208,"Health Technologists and Technicians, N.E.C."
Engineering Technologists and Technicians,A213,Electrical and Electronic Technicians
Engineering Technologists and Technicians,A214,Industrial Engineering Technicians
Engineering Technologists and Technicians,A215,Mechanical Engineering Technicians
Engineering Technologists and Technicians,A216,"Engineering Technicians, N.E.C."
Engineering Technologists and Technicians,A217,Drafters
Engineering Technologists and Technicians,A218,Surveying and Mapping Technicians
Science Technicians,A223,Biological Technicians
Science Technicians,A224,Chemical Technicians
Science Technicians,A225,"Science Technicians, N.E.C."
Miscellaneous Technicians,A226,Airplane Pilots and Navigators
Miscellaneous Technicians,A227,Air Traffic Controllers
Miscellaneous Technicians,A228,Broadcast Equipment Operators
Miscellaneous Technicians,A229,Computer Programmers
